,1000m,250m,100m,50m
10.0,2.3177019000000008,5.189575359999997,11.13651724,20.610432420000006
11.0,2.1833025199999994,4.66570476,10.5427928,20.186265559999992
12.0,1.8862884800000004,4.5160793600000035,9.722980799999998,18.07178577999998
13.0,1.9451172200000002,4.43455434,11.432523760000004,16.090561700000034
14.0,1.7270426,4.09124286,8.97184206,20.105049099999995
15.0,1.8604562199999997,4.191941940000001,8.179067779999992,15.637294140000005
16.0,1.81361266,3.8142188000000004,7.75296362,17.57526146
17.0,1.7774671599999992,3.48659102,8.849010179999999,16.62925029999999
18.0,1.5830186999999996,3.557485,6.90795536,15.78119372000001
19.0,1.5150200600000006,3.36147986,7.896245820000002,14.675400360000003
20.0,1.55903042,3.156306380000001,7.399545000000001,14.331799079999996
21.0,1.5680564800000003,3.025642180000001,7.122775379999998,13.399906379999994
22.0,1.52738298,3.1557888399999996,6.9820632599999986,12.802754580000009
23.0,1.28982976,3.2453915199999996,5.622603219999997,12.266835059999995
24.0,1.3503242200000003,2.7030591999999998,6.400058459999997,11.787674200000003
25.0,1.4047416600000002,2.51221238,6.15466558,11.49954778
26.0,1.28954076,2.87933692,5.8250642,11.103494420000004
27.0,1.2249084199999998,2.71240574,5.586350679999998,10.574300599999992
28.0,1.2032271200000004,2.6977775800000003,5.529483379999999,10.358661839999991
29.0,1.1643914000000009,2.6311613799999995,5.268988440000004,9.692472379999993
30.0,1.2361822999999998,2.51793842,5.115667080000003,9.479945539999994
31.0,1.0939736799999995,2.4236612600000003,4.9356593800000015,9.11652226
32.0,1.0730998799999996,2.33593908,4.841150439999995,8.931473040000004
33.0,1.0306082599999997,2.3021771600000003,4.588900059999998,8.708366239999986
34.0,1.0840939200000002,2.2200861000000005,4.428472799999997,8.472068179999997
35.0,1.0344358200000001,2.2388865999999994,4.44190534,8.251447459999998
36.0,0.9619697800000001,2.127739439999999,4.288899240000001,8.189637300000005
37.0,0.9724158600000002,1.9952242000000013,4.24538928,7.817273940000007
38.0,0.9413493600000002,2.0187744199999997,4.095320320000002,7.650562079999986
39.0,0.9552748399999998,1.9367119400000008,3.9929919799999993,7.422238579999998
40.0,0.9009202600000001,1.9037622799999994,3.8471447999999953,7.196264339999994
41.0,0.8830535599999998,1.8017909200000006,3.827684400000001,7.066310299999998
42.0,0.8425379999999997,1.7945836400000004,3.746660079999998,6.905990900000006
43.0,0.8025978600000002,1.8662511800000003,3.5935583199999996,6.759747919999995
44.0,0.84302992,1.7138903200000002,3.5428432199999973,6.644495239999992
45.0,0.85651776,1.7029516200000003,3.500637720000003,6.431454839999992
46.0,0.7841280399999999,1.6397657800000005,3.329765739999999,6.361802220000004
47.0,0.71494046,1.6200911999999987,3.258955580000003,6.335196120000001
48.0,0.7492260000000002,1.6047158000000004,3.1845061600000006,6.104208419999987
49.0,0.7158803200000001,1.5157559399999996,3.1222733800000015,5.937268280000012
50.0,0.7684251799999998,1.5244706199999996,3.149888499999997,5.792208699999992
51.0,0.7044284600000001,1.5107581999999993,2.989698200000004,5.7520600800000015
52.0,0.6636645800000004,1.5297371599999992,3.008707659999999,5.7514331200000015
53.0,0.6957936400000001,1.4651914599999998,2.9709095400000023,5.434733419999998
54.0,0.65367502,1.4606166599999995,2.815261380000004,5.522400800000014
55.0,0.74469364,1.3911499400000011,2.790187960000003,5.268996799999991
56.0,0.63720648,1.4005424199999994,2.8627573999999982,5.1416953800000105
57.0,0.6321033799999999,1.3277779399999985,2.780424119999998,5.071244479999995
58.0,0.6315002399999997,1.33944968,2.7071112200000016,5.093327720000002
59.0,0.6486967800000002,1.2905176600000003,2.627028659999996,4.95088103999999
60.0,0.6547755599999998,1.2974479400000007,2.5949929999999997,4.853550180000002
1.0,12.334420159999999,36.848864979999995,87.78033706,152.09457274
1.25,8.3964179,29.633232019999998,70.51188648,90.68684269999999
