,1000m,250m,100m,50m
10.0,-1.8889662027359009,-2.1059136390686035,-3.637826681137085,-8.090221405029297
11.0,-2.89459490776062,-5.3863115310668945,-5.085022926330566,-9.741800308227539
12.0,-0.6674761772155762,-1.1349471807479858,-7.8752899169921875,-9.204028129577637
13.0,-0.9806247353553772,-1.4476430416107178,-15418.9296875,-7.843499183654785
14.0,-9.665959358215332,-97.85030364990234,-5.561374187469482,-85031.5234375
15.0,-49.21101760864258,-126.21031188964844,-6.6839423179626465,-4.21576452255249
16.0,-76.83040618896484,-4.022366523742676,-8.848380088806152,-102110.1953125
17.0,-47.69548416137695,-196.72116088867188,-31648.8828125,-109508.53125
18.0,-45.988590240478516,-61.462867736816406,-12.73938274383545,-117972.6328125
19.0,-3.041557550430298,-7.925384044647217,-37201.52734375,-125835.9375
20.0,-5.282402515411377,-12.245813369750977,-39290.97265625,-133740.28125
21.0,-17277.83203125,-42.34669876098633,-42487.83203125,-141140.859375
22.0,-13726.6591796875,-19733.419921875,-44956.22265625,-147582.609375
23.0,-27.115182876586914,-18990.0390625,-32.67377853393555,-155163.953125
24.0,-19735.298828125,-73.663330078125,-48836.81640625,-161870.28125
25.0,-21444.01171875,-126.74027252197266,-51492.90234375,-169158.859375
26.0,-20954.796875,-20941.05078125,-53044.97265625,-174728.390625
27.0,-25938.5,-20907.720703125,-55169.4921875,-182784.484375
28.0,-23129.478515625,-22225.55859375,-58509.8125,-188564.375
29.0,-24717.578125,-24872.91015625,-60263.875,-193772.03125
30.0,-24966.25,-24663.244140625,-63706.4453125,-201259.84375
31.0,-26738.087890625,-25728.4453125,-65255.921875,-206161.640625
32.0,-25417.421875,-27300.93359375,-67940.40625,-211909.359375
33.0,-26312.44921875,-27664.341796875,-70093.046875,-218271.40625
34.0,-25311.98828125,-29148.1875,-72509.8515625,-225452.796875
35.0,-26614.462890625,-28233.216796875,-75082.4375,-230617.53125
36.0,-26170.76953125,-28545.08203125,-76362.1953125,-234998.828125
37.0,-27430.1328125,-30799.337890625,-79264.5078125,-240896.875
38.0,-27286.69140625,-30501.65625,-82536.328125,-246245.484375
39.0,-27589.41796875,-31494.5390625,-83565.21875,-249280.734375
40.0,-26644.966796875,-32311.478515625,-85333.8046875,-254543.28125
41.0,-26321.529296875,-33554.87109375,-86476.2421875,-261139.671875
42.0,-25882.314453125,-33220.390625,-87655.578125,-264387.09375
43.0,-25253.57421875,-34994.69921875,-87609.25,-268167.09375
44.0,-27927.91796875,-33728.9609375,-91501.9921875,-274252.78125
45.0,-27996.462890625,-36786.3828125,-94633.875,-279296.90625
46.0,-28348.587890625,-36363.05078125,-96413.6171875,-282284.40625
47.0,-28161.021484375,-35466.31640625,-98441.046875,-286800.46875
48.0,-29358.123046875,-36929.47265625,-96556.0703125,-288393.71875
49.0,-29954.6796875,-37921.00390625,-101329.8359375,-293263.5
50.0,-31136.2578125,-40570.51171875,-100619.6796875,-301917.5625
51.0,-29625.5390625,-40621.37109375,-103587.828125,-304229.125
52.0,-30518.275390625,-40844.79296875,-104103.3515625,-313410.71875
53.0,-29324.85546875,-39850.02734375,-104455.890625,-320951.90625
54.0,-31376.384765625,-43042.5234375,-109069.25,-321265.125
55.0,-31323.025390625,-41822.12890625,-110200.3125,-324759.9375
56.0,-30146.544921875,-43333.2890625,-112270.8828125,-331680.09375
57.0,-31238.119140625,-44874.71484375,-113229.9140625,-338153.84375
58.0,-31743.69921875,-47575.46875,-113588.7265625,-341003.90625
59.0,-35446.0625,-45618.30078125,-120079.25,-346924.03125
60.0,-31961.681640625,-48039.796875,-117894.140625,-351961.09375
1.0,0.45024463534355164,0.11241744458675385,0.09023488312959671,-0.018605871126055717
1.25,0.40885013341903687,0.11474650353193283,-0.009257974103093147,-0.1462710201740265
1.5,0.43729329109191895,0.11617647111415863,0.0034856703132390976,-0.21002203226089478
1.75,0.32814207673072815,0.12707948684692383,-0.04056676849722862,-0.28257492184638977
2.0,0.35036131739616394,0.01851153001189232,0.012991326861083508,-0.347978800535202
2.25,0.5294409394264221,0.058885157108306885,-0.1814446747303009,-0.43179160356521606
2.5,0.41836977005004883,-0.019526874646544456,-0.15892960131168365,-0.5567097663879395
2.75,0.29910311102867126,-0.012075438164174557,-0.17335675656795502,-0.7534108757972717
3.0,0.3646657466888428,0.04310470446944237,-0.19065037369728088,-0.8399903774261475
3.25,0.4861501455307007,0.10128442198038101,-0.4084360599517822,-0.8989189267158508
3.5,0.28737515211105347,-0.1588163822889328,-0.5051870942115784,-0.9376760721206665
3.75,-0.8034399151802063,-0.6142473220825195,-0.7493286728858948,-1.3605178594589233
4.0,-0.7890514731407166,-0.7103512287139893,-0.7283350229263306,-1.509857177734375
4.25,-0.8631967902183533,-0.6755647659301758,-0.9323217272758484,-1.6428444385528564
4.5,-0.8846849203109741,-0.7303116321563721,-0.9177349209785461,-1.8966243267059326
4.75,-0.8786716461181641,-0.6983623504638672,-1.0869611501693726,-2.089362382888794
5.0,-0.9306697249412537,-0.8170454502105713,-1.138316035270691,-2.3201632499694824
5.25,-0.9761022329330444,-0.7886497378349304,-1.2043745517730713,-2.597705841064453
5.5,-1.0322837829589844,-0.8887435793876648,-1.2032597064971924,-2.854004144668579
5.75,-1.0414854288101196,-0.9361969828605652,-1.414021372795105,-3.027665376663208
6.0,-1.0580381155014038,-0.9607258439064026,-1.3561395406723022,-3.2474770545959473
6.25,-1.004685878753662,-1.034967064857483,-1.4715582132339478,-3.403014659881592
6.5,-1.1831973791122437,-1.0747644901275635,-1.831587553024292,-3.566880941390991
6.75,-1.189573049545288,-1.094555377960205,-1.8906856775283813,-3.813558578491211
7.0,-1.2667648792266846,-1.1735725402832031,-2.046154737472534,-4.135042190551758
7.25,-1.2535321712493896,-1.243304967880249,-2.113647937774658,-4.418329238891602
7.5,-1.3117115497589111,-1.2738051414489746,-2.30313777923584,-4.703010082244873
7.75,-1.278520941734314,-1.4041327238082886,-2.3885960578918457,-4.966047763824463
8.0,-1.3419593572616577,-1.4946986436843872,-2.5252573490142822,-5.241116046905518
8.25,-1.3683724403381348,-1.4571082592010498,-2.5612637996673584,-5.5645928382873535
