,50m,25m
1,16.09080112,63.49282152
1.097843767,18.01698054,69.69224538
1.205260937,19.34938248,78.31322974
1.323188207,21.7485917,62.7296794
1.452653926,22.9941867,77.12764982
1.594787058,26.42106828,70.01661284
1.750827032,28.16079238,88.49401898
1.922134544,32.1792441,71.22059464
2.110203429,25.17021652,97.73425662
2.316673681,27.20017152,72.60276956
2.543345761,28.5218535,107.1853355
2.792196292,31.75092322,75.16007836
3.065395295,32.93293618,121.1456821
3.365325118,37.44247486,79.6871765
3.694601205,38.3141179,131.2517766
4.056094905,44.3927561,88.2311794
4.45295851,44.57548476,145.5173432
4.888652745,53.41492336,100.3136356
5.366976946,53.71833334,155.7713113
5.892102188,60.51577058,113.1698105
6.468607662,62.79588594,169.9417434
7.101520603,66.9260379,128.962965
7.79636013,76.4318155,187.2102449
8.559185375,73.62954476,146.9556325
9.396648315,86.7046,207.551878
10.31605178,78.4560561,168.8919138
11.32541315,101.0512803,234.2354495
12.43353424,83.89062322,196.5471753
13.65007807,117.7211842,260.3886027
14.98565312,91.11337256,228.6192389
16.45190588,134.9343775,299.2407624
18.06162232,99.428804,270.4947528
19.82883949,160.6912666,634.7575599
21.76896784,174.2584484,654.324304
23.89892566,189.3410293,775.7362982
26.23728658,205.8677233,773.5450064
28.80444153,224.6175632,887.1285862
31.6227766,242.5012814,946.4153715
34.71686819,266.3816695,1093.80578
38.11369735,292.0366051,1116.990884
41.84288508,316.9589105,1324.78113
45.93695058,351.7593435,1383.107811
50.43159487,375.4348548,1605.880983
55.36601209,422.6905667,1679.522183
60.78323128,448.6271278,1806.63885
66.73049161,505.1788299,2015.362542
73.25965428,539.4586075,1985.806469
80.42765483,625.0240756,2452.955746
88.29699955,645.4728667,2095.216535
96.93631061,762.0908734,2920.214393
106.4209244,779.9349444,2157.246037
116.8335485,940.0801009,3414.133505
128.2649831,928.8462207,2300.437339
140.8149122,1085.171416,3872.642295
154.5927736,1165.403842,2503.623355
169.718713,1440.003214,4345.939172
186.3246312,1411.290754,2792.391846
204.555335,1727.797526,4862.653371
224.5697996,1698.852883,3238.546078
246.5425547,2067.612398,5419.119197
270.665207,2017.492377,3846.956671
297.1481105,2260.264704,6053.891358
326.222201,2771.749341,4535.419671
358.14101,2777.084094,6849.707343
393.1828756,2930.362731,5410.307355
431.6533693,2866.139879,7711.549295
473.887961,3454.762638,6335.336316
520.2549442,3040.165302,8765.645084
571.1586478,4185.618928,11734.9639
627.0429615,3223.337401,14523.88642
688.395207,4856.668221,13790.71157
755.7503872,3470.927509,16571.6869
829.6958521,5695.948868,16169.99865
910.8764198,4289.158264,19029.57955
1000,8600.877226,19965.05378
