,10000m,250m,100m,50m,25m
1,3.6615247,5.86003468,9.11196238,20.2852849,63.81473656
1.097843767,3.7617093,5.5867385,8.95965954,22.63118018,70.84094484
1.205260937,3.72510994,5.54642794,8.61099046,24.93158696,77.48074406
1.323188207,4.17722618,5.54810708,8.67905388,24.06021954,68.41719546
1.452653926,4.25777964,5.5693033,9.18745294,26.57005904,73.7579686
1.594787058,4.39934778,5.55168354,9.97805852,28.93230706,80.47148074
1.750827032,4.29802976,5.70705496,10.99272292,23.54094406,84.35999598
1.922134544,4.28448648,5.52598722,12.0041279,25.22578772,87.14963886
2.110203429,4.29337186,5.52869986,13.1418282,26.9098375,93.78041106
2.316673681,4.17534664,5.51600334,14.65592078,29.24185148,98.63452154
2.543345761,4.32530236,5.4853301,15.92249796,31.4779776,104.9581628
2.792196292,4.3426318,5.88017268,12.94135472,34.10232792,115.8309765
3.065395295,4.31190232,6.5289212,13.7820651,36.4063686,121.6204446
3.365325118,4.40457578,7.1263574,14.61292528,39.2638074,134.4457231
3.694601205,4.26186288,7.76485108,15.73555682,42.24225372,147.2336931
4.056094905,4.61139564,8.43253182,17.15595652,45.61988668,162.1043422
4.45295851,5.03582698,9.28281928,18.41258584,49.25854316,163.4760243
4.888652745,5.52953206,10.30675442,20.07441994,53.87809326,180.7013764
5.366976946,6.0395613,11.23121596,21.9658602,58.39938242,198.5997306
5.892102188,6.63041348,12.15335278,23.84202792,62.65125542,224.7262572
6.468607662,7.4404008,13.48312322,26.13991984,68.155169,216.9161073
7.101520603,8.0520484,10.64692246,28.36378988,74.52569344,245.423228
7.79636013,8.6685199,16.21066278,30.1504473,81.38691192,273.2276792
8.559185375,9.626948,12.40774164,32.89848896,87.01762516,304.2011554
9.396648315,10.45161282,13.59443038,36.00415788,94.07400236,298.3258154
10.31605178,11.39161588,14.84768738,39.44575544,101.5935701,335.9615338
11.32541315,12.57257086,16.05884658,42.82962624,110.6754423,384.2114144
12.43353424,13.78414262,17.72232074,46.87834038,117.7843477,425.2493837
13.65007807,15.06467178,19.6009679,50.94019196,127.4558269,417.2808739
14.98565312,16.664863,20.6233586,55.2454369,138.5304478,480.4278615
16.45190588,17.9500375,22.66851136,59.16773934,149.7834375,534.8187893
18.06162232,19.7927872,24.92713812,64.16536756,159.901162,511.81804
19.82883949,21.3063959,27.34722758,70.43565914,174.864285,582.1335025
21.76896784,23.13644728,29.43773612,76.06002338,190.6407141,688.0941838
23.89892566,18.55983662,32.40829602,82.48385854,207.3779454,670.3786891
26.23728658,19.87350442,35.23809422,88.68533656,224.0377288,648.130971
28.80444153,21.82277176,37.73711242,96.56356208,244.74954,851.4465774
31.6227766,23.98840412,41.22470372,104.4581711,269.2263672,911.6930333
34.71686819,25.9456422,44.40863962,112.0220536,295.815498,883.6492833
38.11369735,28.31231432,48.68634762,122.2005427,316.3879188,763.0702519
41.84288508,30.72219802,52.993675,132.9314507,349.9849163,1242.60213
45.93695058,33.40117786,57.54603134,145.6377315,385.1503716,1176.906703
50.43159487,36.30436358,62.23038728,157.3801739,434.7892759,1012.739437
55.36601209,39.46605308,68.25886232,173.1748163,450.0709537,974.5820601
60.78323128,42.8120045,74.27063234,189.6380697,499.6863155,1707.023484
66.73049161,45.81540898,79.90420462,208.6093889,565.2174015,1490.239456
