,10000m,250m,100m,50m,25m
1,-2388.401123,-3128.652588,-8693.897461,-20772.32031,-42690.27344
1.097843767,-2388.401123,-3128.652588,-8693.897461,-19400.32227,-39722.22266
1.205260937,-2388.401123,-3128.652588,-8693.897461,-18031.86523,-36689.69141
1.323188207,-2388.401123,-3128.652588,-8693.897461,-16769.11523,-3.208337545
1.452653926,-2388.401123,-3128.652588,-8214.532227,-15669.03613,-2.683498621
1.594787058,-2388.401123,-3128.652588,-7642.679199,-14409.96191,-2.221448898
1.750827032,-2388.401123,-3128.652588,-7052.659668,-2.082308769,-1.846034646
1.922134544,-2388.401123,-3128.652588,-6591.667969,-1.767633319,-1.537287235
2.110203429,-2388.401123,-3128.652588,-6096.144531,-1.495626211,-1.280339956
2.316673681,-2388.401123,-3128.652588,-5597.97168,-1.27281785,-1.065991759
2.543345761,-2388.401123,-3128.652588,-5094.699219,-1.071942925,-0.892595887
2.792196292,-2388.401123,-2919.868408,-1.034399152,-0.920023918,-0.747474015
3.065395295,-2388.401123,-2781.896973,-0.877869487,-0.777840137,-0.622502506
3.365325118,-2388.401123,-2550.761719,-0.761036336,-0.658337116,-0.525033891
3.694601205,-2388.401123,-2370.330811,-0.646335006,-0.553853273,-0.441532671
4.056094905,-2290.776611,-2167.421875,-0.568092465,-0.472227991,-0.372581154
4.45295851,-2121.604004,-1988.679688,-0.494480371,-0.396185964,-0.31392774
4.888652745,-1995.532715,-1810.917969,-0.419389606,-0.343202442,-0.26865232
5.366976946,-1849.89978,-1642.785767,-0.362154067,-0.292716891,-0.229132146
5.892102188,-1739.322266,-1496.932617,-0.316298217,-0.252744406,-0.191764861
6.468607662,-1619.851685,-1328.263672,-0.262961447,-0.212743759,-0.164632574
7.101520603,-1493.046997,-0.308496863,-0.233049572,-0.188541263,-0.147777572
7.79636013,-1346.873535,-1043.756226,-0.19648008,-0.163180113,-0.12800625
8.559185375,-1237.444946,-0.232764304,-0.166084513,-0.137478128,-0.107576109
9.396648315,-1098.269043,-0.188473195,-0.145748094,-0.118084997,-0.092063673
10.31605178,-969.7111206,-0.166148067,-0.130944997,-0.105447426,-0.082732782
11.32541315,-845.8729858,-0.145566687,-0.114487737,-0.087659284,-0.07440941
12.43353424,-740.6924438,-0.136585757,-0.092766002,-0.080112912,-0.067075074
13.65007807,-639.2189941,-0.105387032,-0.078777343,-0.069757111,-0.055340257
14.98565312,-543.1516113,-0.096879132,-0.065475553,-0.059556704,-0.04896792
16.45190588,-462.8505249,-0.083090723,-0.059572559,-0.047214322,-0.040967006
18.06162232,-393.4820251,-0.080015235,-0.046273928,-0.039729148,-0.032170359
19.82883949,-310.2157898,-0.060886726,-0.043308344,-0.033024006,-0.02817513
21.76896784,-228.7707672,-0.062981546,-0.036305718,-0.030135674,-0.023010755
23.89892566,-0.091118358,-0.053852864,-0.035183363,-0.025850466,-0.01836187
26.23728658,-0.0807136,-0.053181332,-0.030203102,-0.01980865,-0.015676759
28.80444153,-0.071409218,-0.035096746,-0.027453801,-0.020474317,-0.016996728
31.6227766,-0.064404465,-0.034255505,-0.024997305,-0.016161082,-0.012056229
34.71686819,-0.064244747,-0.030317616,-0.024851667,-0.014267364,-0.009867979
38.11369735,-0.061509166,-0.029044909,-0.017784625,-0.013772557,-0.008479452
41.84288508,-0.042431198,-0.023935311,-0.014214803,-0.008223914,-0.006480847
45.93695058,-0.03746387,-0.025638757,-0.012992585,-0.008251411,-0.006068082
50.43159487,-0.039499771,-0.024889916,-0.012512056,-0.00688065,-0.004020642
55.36601209,-0.036632132,-0.022717483,-0.008653735,-0.005778177,-0.004984316
60.78323128,-0.034983508,-0.024394447,-0.012460806,-0.005308863,-0.005011769
66.73049161,-0.037335414,-0.020888019,-0.010666315,-0.003629994,-0.003741594
73.25965428,-0.033384532,-0.01023339,-0.008542772,-0.006288656,-0.003531832
80.42765483,-0.030835195,-0.01037889,-0.010115501,-0.00715384,-0.003284376
88.29699955,-0.029497871,-0.012051655,-0.009773635,-0.005962319,-0.002253015
96.93631061,-0.027841898,-0.009433763,-0.00927865,-0.006137815,-0.00136429
106.4209244,-0.013339143,-0.008462554,-0.005787152,-0.00578888,-0.000341038
116.8335485,-0.001830982,-0.009768493,-0.008304022,-0.002822677,0.002491696
128.2649831,-0.001040308,0.002272956,-0.000319634,0.001077007,0.003768971
140.8149122,-0.000823993,0.000536723,0.002055864,0.003975943,0.00966851
154.5927736,0.00328391,0.008345971,0.005864521,0.003469555,0.012988731
169.718713,0.020129366,0.011550066,0.009513434,0.007898402,0.012560408
186.3246312,0.024196804,0.014178007,0.010420513,0.014149088,0.017848365
204.555335,0.021745324,0.022230623,0.019367276,0.017901137,0.021878257
224.5697996,0.038500659,0.037322126,0.019828174,0.015479433,0.027181195
246.5425547,0.045621853,0.043641716,0.027985042,0.022741074,0.033652004
270.665207,0.063078709,0.063789472,0.043610226,0.037059877,0.041289043
297.1481105,0.080240749,0.081187554,0.047977947,0.039328318,0.058108263
326.222201,0.088968046,0.100619018,0.069577731,0.074663773,0.100202724
358.14101,0.096586123,0.132351324,0.095246047,0.103508011,0.143520072
393.1828756,0.111512639,0.17142719,0.150958508,0.161290511,0.204866856
431.6533693,0.125568986,0.201806143,0.175208971,0.198658258,0.254257798
473.887961,0.146472082,0.233162001,0.223086089,0.253726989,0.291317165
520.2549442,0.18341209,0.271594286,0.272595435,0.291505426,0.349160522
571.1586478,0.227381736,0.300207347,0.310390681,0.322360247,0.42672047
627.0429615,0.261363268,0.323707879,0.339129835,0.372028857,0.520138562
688.395207,0.295089722,0.35668385,0.375915051,0.422962546,0.578119338
755.7503872,0.326677918,0.398260355,0.411704957,0.471694767,0.643919706
829.6958521,0.353160113,0.448073328,0.457719177,0.508657753,0.699031889
910.8764198,0.387933016,0.484259009,0.496287942,0.543979108,0.658092916
1000,0.435870379,0.508933544,0.534680665,0.577668726,0.7281515
1128.837892,0.593207002,0.536605358,0.571761191,,
1274.274986,0.63166374,0.562225938,0.603211224,,
1438.449888,0.58687228,0.587403119,0.628698289,,
1623.776739,0.930249751,0.616678238,0.663366079,,
1832.980711,1.460873723,0.646949291,0.695137024,,
2069.138081,1.885274529,0.919376612,0.734523118,,
2335.721469,2.184968948,1.37188518,1.220026612,,
2636.650899,2.725471258,2.027992964,1.896232009,,
2976.351442,3.631908655,2.371006012,2.274346113,,
3359.818286,4.586592674,2.958754301,2.894709826,,
3792.690191,5.062291145,3.656180382,3.497784853,,
4281.332399,5.39789772,4.565048218,4.0639925,,
4832.930239,5.640339851,5.362967491,5.468537807,,
5455.594781,6.17869997,5.956827641,5.961204529,,
6158.482111,7.51090765,7.50710535,7.95067358,,
6951.927962,8.965961456,9.184220314,11.01519299,,
7847.599704,11.02487087,11.39210892,12.41610813,,
8858.667904,12.74568748,12.95750141,13.34015274,,
10000,14.08569527,14.23121929,14.426548,,
