,1000m,250m,100m,50m,25m
10,-205.6656799,-0.087456919,-0.181228146,-0.387429208,-1.022974133
11,-257.6930237,-0.096478708,-0.219508052,-0.465876371,-1.230635405
12,-336.1145935,-0.119091459,-0.249283969,-0.536239684,-1.454609275
13,-403.0582275,-0.142351747,-0.270295173,-0.627525866,-1.706027389
14,-473.8300171,-0.149402991,-0.320282161,-0.70838362,-1.977496624
15,-537.756897,-0.163567215,-0.354382366,-0.803392291,-2.262821436
16,-595.5286255,-0.166808829,-0.393538713,-0.905656874,-2.578267813
17,-658.9934692,-0.207613721,-0.43041119,-0.998728395,-2.904844284
18,-721.3414917,-0.231148347,-0.461940855,-1.103880644,-3.238581181
19,-781.5574341,-0.239031941,-0.520489514,-1.216352463,-3.582621813
20,-850.4099731,-0.243462279,-0.557668328,-1.32837081,-37241.83984
21,-913.1224365,-0.260811478,-0.60309124,-1.450390697,-38821.81641
22,-967.1317139,-0.410794914,-0.640626788,-1.573833227,-40277.36328
23,-1028.765747,-1233.785034,-0.689627647,-1.704329848,-41654.32031
24,-1083.311646,-1296.000366,-0.742016673,-1.833899736,-43244.07813
25,-1141.374268,-1370.786499,-0.79548949,-1.973776102,-44468.43359
26,-1206.301514,-1447.140015,-0.849481642,-13408.1123,-45908.74609
27,-1253.122925,-0.39550662,-0.893241167,-13844.5791,-47266.69922
28,-1296.071167,-1567.96228,-0.956330895,-14278.58496,-48731.79688
29,-1347.325073,-1632.419434,-1.021856189,-2.569874525,-49992.57422
30,-1370.077271,-1696.564697,-4773.737793,-15220.84668,-51617.08984
31,-1417.684326,-1752.954224,-4927.773926,-15651.10352,-52885.07813
32,-1475.122803,-1804.838623,-5068.419922,-16053.63086,-54429.25391
33,-1520.571289,-1870.923096,-5274.564453,-16399.65234,-55809.32813
34,-1569.304688,-1921.064453,-5398.151855,-16807.03125,-57521.40625
35,-1593.594727,-1980.807983,-5584.061035,-17182.32422,-59382.17188
36,-1659.104614,-2023.746948,-5724.981445,-17509.9707,-60960.10938
37,-1677.244263,-2079.424805,-5845.435059,-17942.82227,-62734.35938
38,-1722.846924,-2141.017578,-5976.381836,-18243.69141,-64454.79688
39,-1747.487305,-2206.386719,-6127.794434,-18566.6875,-66728.16406
40,-1804.661987,-2245.829834,-6246.007813,-18917.23242,-68418.16406
41,-1843.012695,-2265.188965,-6362.559082,-19262.82031,-70497.71875
42,-1824.636963,-2337.007568,-6543.942383,-19562.69141,-72755.01563
43,-1910.80249,-2382.864258,-6599.647949,-20081.24414,-74218.33594
44,-1917.850952,-2406.962646,-6758.068848,-20360.38867,-76613.19531
45,-1964.995605,-2447.005615,-6872.294434,-20691.37695,-78408.28125
46,-1974.791748,-2508.810791,-6983.865234,-21075.9668,-80881.17188
47,-1976.931152,-2579.655029,-7094.90625,-21487.73633,-82664.47656
48,-2014.106812,-2590.302734,-7326.174316,-21811.4375,-84981.15625
49,-2119.155518,-2642.502441,-7386.904297,-22258.65039,-87135.21875
50,-2125.822266,-2703.039551,-7493.919434,-22692.97266,-89076.25
51,-2097.117676,-2740.193359,-7603.51416,-23021.23633,-91537.32031
52,-2152.048096,-2780.4375,-7782.200195,-23363.45703,-93707.30469
53,-2194.179932,-2822.842285,-7878.851074,-23777.95703,-95899.64063
54,-2196.320313,-2842.481934,-8001.858398,-24144.04688,-98288.61719
55,-2241.717529,-2902.009521,-8079.059082,-24455.45117,-100558.8125
56,-2276.086426,-2947.75,-8176.82373,-25048.20703,-102677.1484
57,-2333.382568,-2970.584961,-8276.097656,-25380.45703,-104986.25
58,-2349.032959,-3029.519531,-8472.822266,-25676.25391,-107152.1953
59,-2365.423096,-3093.998779,-8615.436523,-26240.05859,-109359.0391
60,-2407.761719,-3128.652588,-8693.897461,-26629.70117,-112027.6875
1,0.019722378,0.005584127,-0.009376135,-0.009831397,-0.024752844
1.25,0.018746605,-0.004937364,-0.007957383,-0.013014972,-0.035257544
1.5,0.000966059,-0.005572115,-0.009561925,-0.015758272,-0.051086809
1.75,-0.001018929,-0.011798626,-0.01392709,-0.021834515,-0.068030149
2,-0.009793922,-0.010975863,-0.014626769,-0.029262574,-0.082634874
2.25,-0.022788491,-0.021457992,-0.02308779,-0.034177974,-0.101462513
2.5,-0.031028619,-0.022928335,-0.022998756,-0.039527252,-0.119807087
2.75,-0.032727424,-0.021575814,-0.030786233,-0.046242919,-0.140726328
3,-0.034688622,-0.02214808,-0.034100942,-0.058200747,-0.157704636
3.25,-0.036617141,-0.02531337,-0.036133949,-0.066770598,-0.180167571
3.5,-0.035089634,-0.026206234,-0.046701524,-0.073301449,-0.204968691
3.75,-0.035316579,-0.027974803,-0.055433687,-0.081687257,-0.227151051
4,-0.036269192,-0.029217342,-0.067188106,-0.090224564,-0.254524976
4.25,-0.039147601,-0.030005183,-0.080094688,-0.098787226,-0.294630975
4.5,-0.04082676,-0.02977651,-0.103890054,-0.1073713,-0.334586471
4.75,-0.041264262,-0.028578892,-0.060456008,-0.116324857,-0.372597426
5,-0.039898776,-0.033526693,-0.058153994,-0.123849683,-0.282015681
5.25,-0.043220181,-0.038610764,-0.063892201,-0.137387455,-0.30742994
5.5,-0.042338032,-0.04026261,-0.066457465,-0.147632182,-0.334285736
5.75,-0.052143171,-0.048763104,-0.068192504,-0.160459965,-0.361627162
6,-0.062624462,-0.05578078,-0.08008267,-0.16972287,-0.388565749
6.25,-0.06229483,-0.055817019,-0.085072577,-0.182324618,-0.416946828
6.5,-0.065797314,-0.055744793,-0.0952233,-0.196140647,-0.451975673
6.75,-0.069276437,-0.054632705,-0.09598802,-0.202636212,-0.481230229
7,-0.067479983,-0.059270304,-0.103327952,-0.214261904,-0.519230962
7.25,-0.06786377,-0.063971922,-0.116666846,-0.224979237,-0.554374933
7.5,-0.070460111,-0.064505361,-0.121829942,-0.241321087,-0.587490022
7.75,-0.071340583,-0.064987667,-0.129853711,-0.256307662,-0.626722217
8,-0.071703404,-0.062357564,-0.133186981,-0.271097898,-0.666850924
8.25,-0.073690094,-0.067024186,-0.139886171,-0.281402886,-0.704442322
8.5,-0.069611251,-0.082460269,-0.144741684,-0.298438519,-0.749204934
8.75,-0.080361456,-0.07989271,-0.145399243,-0.310246885,-0.790010154
9,-0.079336062,-0.076837905,-0.149421647,-0.323456675,-0.834400296
9.25,-0.299453467,-0.079436116,-0.160182685,-0.346929669,-0.881115913
9.5,-52.72653198,-0.084078945,-0.163764462,-0.359209865,-0.923989296
9.75,-27.24144173,-0.085170507,-0.167700604,-0.373706579,-0.971865416
10,-205.6656799,-0.087456919,-0.181228146,-0.387429208,-1.022974133
0.1,2.194692373,0.610130906,0.45273003,0.232115492,0.030760247
0.15,0.863674819,0.518672824,0.289392263,0.049128462,0.005500454
0.2,0.546430767,0.418079674,0.168204501,0.022998199,0.000560487
0.25,0.39907971,0.324393421,0.077878654,0.012642339,-0.00226021
0.3,0.323067963,0.257598817,0.039881233,0.007791848,-0.002625313
0.35,0.273552805,0.2243101,0.027401594,0.000174956,-0.003522129
0.4,0.221491694,0.163028434,0.017759355,-0.005510362,-0.00459719
0.45,0.163866788,0.124028146,0.010592969,-0.007310093,-0.00519534
0.5,0.133520067,0.095987476,0.012335286,-0.007685511,-0.007558235
0.55,0.120346725,0.070025988,0.008650417,-0.005508641,-0.009448458
0.6,0.10946174,0.053049017,0.004519981,-0.00733809,-0.011095874
0.65,0.094583228,0.038050763,-0.002263225,-0.006471337,-0.012953852
0.7,0.088392191,0.035683036,-0.00402682,-0.006245766,-0.014467384
0.75,0.076254241,0.026734527,-0.003704221,-0.005588184,-0.013768771
0.8,0.072079122,0.02252081,-0.008351199,-0.006896153,-0.016656909
0.85,0.062192902,0.013244231,-0.006574443,-0.00665385,-0.017293988
0.9,0.054368801,0.010586619,-0.008345505,-0.007624437,-0.018556854
0.95,0.049003903,0.005162828,-0.00877526,-0.008301171,-0.024094768
1,0.046653025,0.00577616,-0.009735644,-0.009781544,-0.024940131
0.01,19.9400177,18.58498764,12.80858135,,
0.02,15.27766037,11.41626453,3.806891441,,
0.03,10.47600746,5.748965263,1.99938488,,
0.04,6.412456512,3.853872776,0.728101492,,
0.05,5.51197958,2.498186827,0.671332002,,
0.06,5.068365097,2.011954546,0.621479452,,
0.07,4.357962608,1.194443345,0.582891583,,
0.08,3.116563797,0.781383097,0.543327749,,
0.09,2.610035658,0.632660508,0.498546541,,
