,10000m,250m,100m,50m,25m
1000.0,104.65523659999599,347.945612600015,1360.802237099997,5909.771922100015,19917.888601499988
910.8764197647733,94.5770324000041,309.83290790001047,1370.9818512000202,5518.034916600009,17528.199280299974
829.6958520834906,52.098363099998096,175.9619028000161,1140.616656899976,4969.170392600005,16042.633800900017
755.750387239493,81.54144619998988,264.4397553000017,1032.652561099996,4463.778485799994,14968.621465400007
688.3952069645496,73.52866499999072,243.5507776000013,933.4507879999874,3963.991389300005,14232.013166499994
627.0429615030991,59.645147600007476,194.50201120000565,745.3622742000152,3612.7445615000033,12643.142799299996
571.1586478126429,50.090345100004924,178.64648199998192,783.1497588999919,3222.06715040002,11512.292727499997
520.2549442372692,50.54480040000635,186.9016716000042,723.553116199997,2559.244052299997,10140.420644099999
473.8879609717651,49.329183199995896,168.13121029999456,659.4337576999969,2042.2942066999967,8852.070796899992
431.65336925959,41.481882599997334,140.83379020000575,545.2664141999849,1869.41401030001,7832.227484999981
393.18287557057704,33.86908720000065,126.61751690000528,554.7847104999819,1715.2557299000036,6047.831000699982
358.14101001254517,29.392897899990203,129.58639589999802,501.48510220000753,1555.072768299986,5532.911542800022
326.222200971167,30.85861549997935,119.32275500000105,461.5228499000077,1424.2099018000008,5045.213339699985
297.14811046840066,28.18399699998554,110.92550040001515,432.8094849999761,1297.7595875000115,4581.068135100009
270.66520700332416,25.65399890000117,99.3036138000025,386.529776099982,1203.696062700008,4312.865338000003
246.54255471007914,23.610379700025078,89.56954339999356,348.1848108000122,1100.231886900001,4188.030556799989
224.5697995539774,20.895811900001718,82.8758238000155,321.98505580000347,1007.4995606000011,3498.9973948000115
204.55533500501951,19.657914200011874,77.38719489998766,298.5356710999913,918.3962883000204,3221.2333055000054
186.324631193156,17.467407199990703,69.41798340002424,267.7527354999911,823.0085828999872,3001.8309030000237
169.71871297521372,16.490276299999095,62.58854949998204,245.75199210000574,768.2702988999954,2626.664293300011
154.5927736419477,14.868043800001033,58.30985320001491,226.7664431000012,695.7816934000002,2431.08338679999
140.81491217648332,13.827998099994147,54.4478285999794,210.06739879999077,644.1035083000024,2203.425145299989
128.264983052806,12.429215599986492,49.09489050001139,187.7739212999877,583.0537504999957,2029.6599564999924
116.83354854432925,11.368004599993583,45.26007049999316,172.23061810000218,537.634556999983,1831.306713099999
106.42092440647247,10.463008000020636,40.116574299987406,157.52184949998627,486.2829710000078,1669.0856616999954
96.93631061142513,9.28850510000484,37.72593269997742,146.58741710000322,446.3627980000165,1534.570191900013
88.29699955494087,8.758394100004807,34.21228790000896,130.8473961999989,412.1477362999867,1392.903966599988
80.42765483057629,7.8978740000166,31.084640899993246,120.92735369998263,376.61571549999644,1278.0755306999781
73.2596542821523,7.2295878999866545,28.41884779999964,109.55300559999887,342.77508469999884,1160.5519368000096
66.7304916057319,6.766646800009767,26.052129799994873,102.76682849999634,312.29241359999287,1051.4594901999808
60.7832312829723,6.073253199981991,23.823386600008234,92.8065757000004,288.58629259999725,960.0012949999946
55.366012092767946,5.483362300001318,22.03241590000107,85.94346870001755,263.37253160000546,877.9551969000022
50.431594871713585,4.900470900000073,20.251217799988808,79.46464259998174,239.3656517000054,804.3475938999909
45.93695057977395,4.641009899991332,18.13807079999242,70.86623400001554,219.02920439999434,734.0753089000063
41.8428850790158,4.259123800002271,16.858615999983158,64.74042630000622,198.8678060999955,679.9226501999947
38.11369735340275,4.059556699998211,15.211098500003573,58.88980760000413,183.07589129998814,616.5645892000175
34.7168681892656,3.4290350999799557,13.819559499999741,53.36199349997332,166.28240399999777,561.1640005999943
31.622776601683793,3.3174358000105713,12.711025500000687,49.73888649998116,153.14131859998452,516.8754034999874
28.804441533962965,3.032584800006589,11.388951600005385,45.06997079998837,140.18001899999217,477.3608325999812
26.237286577779905,2.824581099994248,10.508162700018147,40.935932099993806,128.5051347000117,430.2840042000171
23.89892566231049,2.500041899998905,9.50795910001034,37.32097900001099,116.1953068000148,393.60505829998874
21.76896784350983,2.358665600011591,8.805595700017875,34.821725699992385,107.49311750000925,362.3670714000182
19.828839491270703,2.2001687999872956,8.211612200015225,31.199465000012424,97.61057430002256,333.860520599992
18.061622323898998,2.0591295000049286,7.592678699991666,28.98675219999859,88.19270509999478,306.5791815999837
16.451905877536625,2.267359799996484,6.79099429998314,26.564289800007828,82.71248550000018,283.44048580000526
14.985653124037585,1.617482999979984,6.34759010002017,24.31546550002531,76.895399800007,257.7664101999835
13.650078065460137,1.9186610000033397,5.883106299996143,22.448481699975673,70.75266369999736,236.12035419998574
12.433534237775987,1.7489241999865044,5.579574100003811,20.62370060000103,63.619486900017364,216.6176545000053
11.325413151528116,1.5933331999985967,5.149359200004255,18.80341100000078,58.7051101999823,200.53569119999884
10.316051783820802,1.4830938999948557,4.694690300006187,17.506812999985414,54.34840509999776,184.06728370001656
9.39664831495469,1.326224500022363,4.197784699994372,16.243093099998077,49.89355599999544,169.82342219998827
8.559185374914618,1.215293000015663,3.9145581999910064,14.388355700008105,45.184115299984114,154.936014899984
7.796360130405229,1.2728131000185385,3.320038799982285,13.834264499979327,41.40382169999066,142.41900090000127
7.101520602780336,1.2012610999809112,4.614621300017461,13.08273910000571,38.64592900002026,132.97447180000017
6.46860766154632,1.2223523999855388,2.9111956999986432,11.356368700013263,34.80486830000882,121.63072519999696
5.892102187612295,1.273091300012311,3.860624099994311,10.94349350000266,32.721571500005666,111.30820510000922
5.366976945540476,1.1792000000132248,3.5599208000057843,9.886223299981793,29.797648499981733,103.03741479999735
4.8886527451139825,1.2180840000219177,3.246241899993038,9.577293800015468,27.47938229999272,95.24517849998665
4.452958509942655,1.2117542999912985,2.9552992999961134,8.809013699996285,25.703159899974708,87.71104350002133
4.056094904897641,1.2104249999974854,2.6965139000094496,8.468743100005668,23.82273059998988,81.56084530000226
3.6946012051993025,1.2258438999997452,2.5111647000012454,8.094247000000905,21.66389190001064,75.22364179999568
3.3653251182505537,1.2035327999910805,2.2256884000089485,7.5734308999963105,20.040851400000975,69.73894090001704
3.065395295056527,1.218797799985623,2.2256905999965966,7.234641200018814,18.351163400016958,65.54605309999897
2.792196291524867,1.274582800018834,2.250119700009236,7.054011400003219,17.223133899999084,60.81256799999392
2.543345761304648,1.182263700000476,2.2200214999902528,6.793496400001459,16.067112000018824,56.16451610001968
2.3166736812810895,1.2471038999792654,2.2859097000036854,6.316010399983497,14.659396899980493,53.07583819999127
2.110203428568594,1.221405499993125,2.2499781000078656,6.268046899989713,14.008959400001913,50.11598450000747
1.922134543989911,1.1242533000186086,2.293247199995676,6.01604529999895,12.881574400002137,47.42592089998652
1.7508270317357233,1.2028365999867674,2.2598919000010937,5.826180900010513,11.624575399997411,44.06422689999454
1.594787058294821,1.1930393999791704,2.24826339998981,5.629268499993486,15.471273200004362,41.207286599994404
1.4526539259467797,1.1819225999934133,2.1902834000065923,5.491928200004622,14.026663700002246,38.56190470000729
1.323188207223645,1.1479343000100926,2.20343110000249,5.6075881000142545,12.930212400009623,35.71752169998945
1.2052609368708413,1.2013579999911599,2.267031700001098,5.539639399998123,11.53808100000606,33.37787890000618
1.0978437670592485,1.182757100003073,2.166301699995529,5.448358699999517,10.677527699997881,39.71869660000084
1.0,1.1654893000086304,2.238794000004418,5.478797299991129,9.707914600003278,35.629296400002204
